Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,4350.000000,4460.000000,4050.000000,4050.000000,3812.179932,2752110600
2021-05-01,4060.000000,4280.000000,3820.000000,4260.000000,4097.568359,2769409500
2021-06-01,4350.000000,4390.000000,3860.000000,3940.000000,3789.770020,3325217700
2021-07-01,3940.000000,4030.000000,3700.000000,3710.000000,3568.539795,2132270600
2021-08-01,3770.000000,4090.000000,3481.758057,3572.665527,3436.441650,2290574201
2021-09-01,3572.665527,3880.000000,3463.576416,3850.000000,3703.201660,6073477827
2021-10-01,3850.000000,4460.000000,3830.000000,4250.000000,4087.949951,4745652300
2021-11-01,4330.000000,4340.000000,4080.000000,4090.000000,3934.050537,2919948500
2021-12-01,4090.000000,4250.000000,4050.000000,4110.000000,3953.288086,2371759500
2022-01-01,4120.000000,4240.000000,4000.000000,4070.000000,3914.813232,2155349200
2022-02-01,4120.000000,4550.000000,4060.000000,4550.000000,4376.511230,3079276500
2022-03-01,4850.000000,4860.000000,4370.000000,4580.000000,4405.367188,3172713900
2022-03-18,4700.000000,4700.000000,4580.000000,4580.000000,4580.000000,257863400
